Iteration,Best_Fitness,Estimated_Optimization_Score
1,0.2296010449498822,0.7703989550501178
2,0.21157281994491295,0.788427180055087
3,0.21157281994491295,0.788427180055087
4,0.21157281994491295,0.788427180055087
5,0.21157281994491295,0.788427180055087
6,0.21157281994491295,0.788427180055087
7,0.21157281994491295,0.788427180055087
8,0.21157281994491295,0.788427180055087
9,0.21157281994491295,0.788427180055087
10,0.21157281994491295,0.788427180055087
11,0.21157281994491295,0.788427180055087
12,0.21157281994491295,0.788427180055087
13,0.21157281994491295,0.788427180055087
14,0.21157281994491295,0.788427180055087
15,0.21157281994491295,0.788427180055087
16,0.21157281994491295,0.788427180055087
17,0.21157281994491295,0.788427180055087
18,0.21157281994491295,0.788427180055087
19,0.21157281994491295,0.788427180055087
20,0.21157281994491295,0.788427180055087
